University/Organization,No_of_tpc,No_of_authors,No_of_publications
University of California Los Angeles,36,76,22
Massachusetts Institute of Technology,12,44,17
University of California Santa Barbara,6,25,9
Microsoft Research,57,50,22
Johns Hopkins University,13,7,3
University of Virginia,30,43,13
University of Illinois Urbana Champaign,31,51,15
Stony Brook University,9,17,7
Washington University in St. Louis,6,17,5
Stanford,25,39,18
Carnegie Mellon University,40,108,31
Vanderbilt University,26,15,3
ETH Zurich,20,62,20
Rice University,7,25,10
Columbia University,4,2,2
University of California Berkeley,21,104,32
Intel Research,14,5,4
University of Southern California,21,43,14
North Carolina State University,1,3,1
University of Washington,5,3,1
Swedish Institute of Computer Science,12,25,9
University of California San Diego,11,3,1
TU Delft,16,17,6
Michigan State University,7,24,8
University of Oxford,6,15,6
University of Minnesota,9,8,4
Ajou University,1,2,1
University of Iowa,1,16,3
Portland State University,4,1,1
Shanghai Jiao Tong University,1,4,2
University of California Merced,3,7,3
University at Buffalo,4,6,2
University of Houston,11,1,1
National Taiwan University,5,14,4
University of North Carolina at Chapel Hill,1,4,2
University of Utah,9,28,13
Purdue University,5,12,4
Graz University of Technology,2,8,2
University of Southampton,1,2,1
TU Dresden,3,3,2
TU Graz / CSH Vienna,1,1,1
Politecnico di Milano,3,2,1
Tsinghua University,4,43,14
University of Trento,4,11,5
Uppsala University,2,10,4
Princeton University,2,2,1
University of Michigan,7,2,1
Bruno Kessler Foundation,1,1,1
Peking University,1,1,1
LUMS,1,3,1
University of Massachusetts Amherst,6,8,3
Nanyang Technological University,2,18,8
Seoul National University,1,2,1
Yale University,6,12,5
TU Berlin,4,5,2
Ohio State University,2,25,7
University of Tennessee,2,1,1
University College London,3,11,5
SICS,1,1,1
Harvard University,2,16,6
CSIRO,7,20,7
College of William and Mary,1,4,1
University of Szeged,3,1,1
Lancaster University,3,2,1
Imperial College,1,1,1
EPFL,2,16,6
University of Memphis,2,6,1
University of Notre Dame,2,2,1
University of Rochester,1,3,1
University of New South Wales,1,36,13
Cornell University,10,11,6
University College Cork,1,3,1
McGill University,2,1,1
University of Maryland,1,10,3
University of Wisconsin Madison,3,25,10
Google,1,1,1
Texas A&M University,4,3,2
Rutgers University,3,39,9
RWTH Aachen University,1,15,3
HP Labs,2,1,1
National University of Singapore,1,12,4
University of Texas Dallas,1,3,1
University of Pennsylvania,2,20,7
Wayne State University,1,1,1
Hong Kong University of Science and Technology,1,4,2
Palo Alto Research Center,5,7,2
Queensland University of Technology,1,5,2
Royal Institute of Technology,1,5,2
University of California Irvine,1,6,3
SUNY Stony Brook,1,1,1
KTH Royal Institute of Technology,1,5,2
Harbin Institute of Technology,1,2,1
University College Dublin,1,3,1
Northwestern University,4,5,1
Caltech,1,4,2
University of Michigan Ann Arbor,4,33,15
