University/Organization,No_of_tpc,No_of_authors,No_of_publications
University of Texas Dallas,11,2,1
Microsoft Research,80,125,22
Lancaster University,12,2,1
Columbia University,20,11,2
Georgia Institute of Technology,17,27,4
BBN Technologies,15,1,1
National Taiwan University,5,5,4
Carnegie Mellon University,34,40,31
TU Berlin,6,3,2
National University of Singapore,3,18,4
Rutgers University,25,64,9
Stanford,11,44,18
Massachusetts Institute of Technology,15,113,17
University of Maryland,10,3,3
Cornell University,5,9,6
University of California Berkeley,8,33,32
University of California San Diego,15,16,1
Arizona State University,12,8,1
University of Illinois Urbana Champaign,41,73,15
University of Wisconsin Madison,20,93,10
Texas A&M University,2,5,2
Rice University,56,85,10
University of Washington,22,29,1
University of California Santa Barbara,13,41,8
Seoul National University,9,4,1
University of Massachusetts Amherst,5,29,3
Stony Brook University,17,40,7
University of Michigan,30,11,1
Google,30,1,1
Hong Kong University of Science and Technology,4,17,2
University of Cambridge,5,18,1
Pennsylvania State University,14,5,1
North Carolina State University,2,6,1
University of Texas Austin,13,47,1
Ohio State University,20,42,7
IBM TJ Watson Research Center,2,7,2
HP Labs,9,9,1
Yale University,7,18,5
University at Buffalo,6,35,2
University of Southern California,13,23,14
University of California Los Angeles,20,64,22
University College London,6,14,5
University of Toronto,8,7,1
Shanghai Jiao Tong University,4,27,2
Michigan State University,2,12,8
Politecnico di Torino,6,4,2
Washington State University,2,1,3
University of Trento,2,1,5
Indian Institute of Science,2,2,5
University of Utah,22,38,13
University of California Davis,5,5,4
University of Helsinki,1,17,1
Tsinghua University,9,66,14
ETH Zurich,10,32,20
Northwestern University,1,3,1
Dartmouth College,9,43,1
Purdue University,14,24,4
EPFL,5,11,6
Ajou University,2,3,1
Portland State University,9,3,1
Uppsala University,3,8,4
RWTH Aachen University,4,4,3
National Chiao Tung University,4,14,4
Princeton University,6,8,1
Nanyang Technological University,5,51,8
TU Delft,1,1,6
IMDEA Networks Institute,2,10,3
Singapore Management University,6,3,2
University of Minnesota,2,18,4
Palo Alto Research Center,1,1,2
SUNY at Buffalo,2,4,1
University of Colorado Boulder,3,3,2
University of Oulu,1,5,1
University of Virginia,1,10,13
University of Oxford,1,5,6
University of Waterloo,1,24,1
Peking University,1,44,1
University of Edinburgh,1,20,2
