University/Organization,No_of_tpc,No_of_authors,No_of_publications
Ohio State University,35,58,7
Arizona State University,33,26,1
Northwestern University,17,1,1
Hong Kong University of Science and Technology,1,26,2
Georgia Institute of Technology,23,32,4
University of Cambridge,7,7,1
University of Maryland,17,2,3
Stony Brook University,8,33,7
Uppsala University,2,4,4
University of Illinois Urbana Champaign,40,35,15
EPFL,27,12,6
University of Pittsburgh,4,1,2
University of Toronto,15,7,1
Harbin Institute of Technology,1,4,1
College of William and Mary,2,10,1
Purdue University,19,8,4
University of California Davis,2,11,4
University of Waterloo,6,4,1
University of Southern California,23,25,14
University of Pennsylvania,11,10,7
University of Massachusetts Amherst,1,14,3
Tsinghua University,9,27,14
ETH Zurich,6,23,20
National Chiao Tung University,1,1,4
University of Texas Austin,19,21,1
University of California Los Angeles,34,25,22
University of Texas Dallas,8,5,1
Hewlett-Packard Labs,1,2,1
Cornell University,10,19,6
Columbia University,24,18,2
BBN Technologies,13,3,1
Rice University,13,36,10
University of California Santa Barbara,6,8,8
Texas A&M University,26,37,2
Politecnico di Torino,22,8,2
North Carolina State University,9,13,1
Nanyang Technological University,4,18,8
Shanghai Jiao Tong University,6,55,2
Rutgers University,12,20,9
Massachusetts Institute of Technology,18,32,17
University of California Irvine,7,10,3
Singapore University of Technology and Design,4,7,1
Imperial College,3,1,1
Microsoft Research,21,23,21
National University of Singapore,5,3,4
Washington University in St. Louis,3,6,5
California Institute of Technology,5,4,1
University of California San Diego,9,5,1
University of Michigan,11,4,1
Advanced Digital Sciences Center,1,1,6
Michigan State University,3,7,8
Pennsylvania State University,4,30,1
National Tsing Hua University,1,3,3
University of California Berkeley,2,6,32
TU Berlin,4,1,2
University of Maryland College Park,4,10,4
Colorado School of Mines,2,2,1
Princeton University,1,4,1
University of Arizona,4,10,1
Temple University,8,14,1
Carnegie Mellon University,6,4,31
Yale University,3,15,5
Nokia Bell Labs,1,2,1
Johns Hopkins University,1,1,3
Indian Institute of Technology,1,7,2
HRL Laboratories,2,2,1
National Taiwan University,1,12,4
Zhejiang University,8,13,1
University of Virginia,1,1,13
Georgia State University,1,6,2
IBM Thomas J. Watson Research Center,1,2,2
University of Wisconsin Madison,1,14,10
