University/Organization,No_of_tpc,No_of_authors,No_of_publications
Columbia University,10,47,2
University of Trento,5,10,5
Dartmouth College,5,60,1
Microsoft Research,35,71,17
Peking University,3,25,1
University of Oxford,10,22,6
Nanyang Technological University,9,51,8
University of Colorado Boulder,9,29,2
University of California Merced,7,31,3
Michigan State University,5,9,8
University of California Berkeley,14,119,32
Rutgers University,9,60,9
National Taiwan University,9,22,4
Cornell University,4,3,6
Stony Brook University,3,11,7
University of Houston,7,8,1
Tsinghua University,8,58,14
University of Cambridge,6,18,1
University of Illinois Urbana Champaign,17,49,15
Graz University of Technology,4,11,2
Carnegie Mellon University,27,98,31
Ohio State University,11,22,7
TU Dresden,3,5,2
TU Delft,19,19,6
University of Washington,6,14,1
Purdue University,4,24,4
Singapore Management University,5,22,2
University of Utah,6,32,13
Zhejiang University,2,18,1
Intel Research,19,4,3
ETH Zurich,14,107,20
University of California San Diego,9,10,1
Tsinghua-Berkeley Shenzhen Institute,3,12,4
University of Minnesota,6,60,4
Stanford,11,81,18
University of Southern California,20,99,14
Nokia Bell Labs,1,10,1
Politecnico di Milano,2,24,1
University of Massachusetts Amherst,7,42,3
Wayne State University,2,4,1
University of Wisconsin Madison,1,6,10
Google,1,2,1
University of New South Wales,5,56,13
Georgia Institute of Technology,6,8,4
University of California Los Angeles,15,160,22
Massachusetts Institute of Technology,12,97,17
Princeton University,4,16,1
University of Virginia,16,155,13
Portland State University,3,11,1
Vanderbilt University,13,37,3
University of Michigan,5,4,1
Washington University in St. Louis,3,36,5
Texas A&M University,5,5,2
University of Texas Austin,2,18,1
Bruno Kessler Foundation,2,3,1
Rice University,2,5,10
EPFL,2,6,6
Harvard University,4,42,6
SICS,7,2,1
Yale University,5,6,5
University College Cork,2,7,1
TU Berlin,5,5,2
University of Notre Dame,1,3,1
Ajou University,3,10,1
Chalmers University of Technology,1,8,2
University at Buffalo,1,11,2
Hong Kong University of Science and Technology,2,17,2
North Carolina State University,2,4,1
Swedish Institute of Computer Science,1,39,9
CSIRO ICT Centre,1,24,8
Cleveland State University,1,4,1
University of Pennsylvania,1,1,7
University of California Santa Barbara,2,19,8
Johns Hopkins University,2,39,3
McGill University,1,2,1
University of Tennessee,1,12,1
Unicamp,1,1,1
University of Memphis,1,15,1
University College London,1,7,5
Seoul National University,1,14,1
Yonsei University,1,23,4
University of Helsinki,1,11,1
