University/Organization,No_of_tpc,No_of_authors,No_of_publications
University of Washington,21,32,1
University of California Berkeley,16,57,32
EPFL,17,4,6
Microsoft Research,61,100,17
Google,16,40,1
Cornell University,9,19,6
National Taiwan University,2,3,4
University College London,20,5,5
University of Southern California,16,15,14
Stanford,27,54,18
Harvard University,8,2,6
University of Cambridge,13,27,1
Massachusetts Institute of Technology,40,88,17
Princeton University,11,46,1
ETH Zurich,8,8,20
Carnegie Mellon University,37,69,31
University of California San Diego,32,56,1
Yale University,6,19,5
Georgia Institute of Technology,16,10,4
BBN Technologies,9,5,1
Intel Research,15,7,3
Rice University,7,6,10
University of Wisconsin Madison,6,16,10
University of California Davis,2,1,4
Washington University in St. Louis,1,15,5
University of California Los Angeles,10,5,22
TU Berlin,1,8,2
Hong Kong University of Science and Technology,1,7,2
University of Texas Austin,15,14,1
Microsoft Research Asia,2,6,4
University of Minnesota,4,1,4
Northwestern University,4,10,1
University of Illinois Urbana Champaign,7,17,15
University of Michigan,10,4,1
Purdue University,5,17,4
Stony Brook University,2,17,7
HP Labs,9,7,1
University of Massachusetts Amherst,10,13,3
University of Pennsylvania,6,32,7
Johns Hopkins University,2,3,3
University of Arizona,1,5,1
Microsoft Research India,3,5,1
University of Waterloo,6,11,1
Politecnico di Torino,2,10,2
UFMG,2,1,2
National University of Singapore,3,1,4
Technical University of Munich,2,10,1
University of Toronto,6,1,1
Tsinghua University,7,39,14
Peking University,1,1,1
University of Memphis,2,1,1
KTH Royal Institute of Technology,1,4,2
IMDEA Networks Institute,3,1,3
University of California,2,1,5
University of California Santa Barbara,2,6,8
Queen Mary University of London,1,3,1
Freie Universität Berlin,1,11,1
