Author_Name,University/Organization,Paper_title,Keywords,Year,Conference
YoungMin Kwon,Microsoft Research,Passive Localization: Large Size Sensor Network Localization Based on Environmental Events,"Wireless Sensor Network, Spectrogram, SVD, Projected Distance, Passive Localization, Localization",2008,ipsn
Gul Agha,,Passive Localization: Large Size Sensor Network Localization Based on Environmental Events,"Wireless Sensor Network, Spectrogram, SVD, Projected Distance, Passive Localization, Localization",2008,ipsn
Jun-geun Park,Massachusetts Institute of Technology,Moving-Baseline Localization,"GPS-denied environment, localization, motion",2008,ipsn
Erik D. Demaine,Massachusetts Institute of Technology,Moving-Baseline Localization,"GPS-denied environment, localization, motion",2008,ipsn
Seth Teller,Massachusetts Institute of Technology,Moving-Baseline Localization,"GPS-denied environment, localization, motion",2008,ipsn
Volkan Cevher,Rice University,Pareto Frontiers of Sensor Networks for Localization,"optimization, localization",2008,ipsn
Lance Kaplan,,Pareto Frontiers of Sensor Networks for Localization,"optimization, localization",2008,ipsn
Lasse Klingbeil,CSIRO,A Wireless Sensor Network for Real-Time Indoor Localisation and Motion Monitoring,"Localisation, Particle Filter, Motion Monitoring, Sensor Networks",2008,ipsn
Tim Wark,CSIRO,A Wireless Sensor Network for Real-Time Indoor Localisation and Motion Monitoring,"Localisation, Particle Filter, Motion Monitoring, Sensor Networks",2008,ipsn
Youngmin Kim,Yonsei University,Y-MAC: An Energy-Efficient Multi-Channel MAC Protocol for Dense Wireless Sensor Networks,"Wireless Sensor Networks, Medium Access Control",2008,ipsn
Hyojeong Shin,Yonsei University,Y-MAC: An Energy-Efficient Multi-Channel MAC Protocol for Dense Wireless Sensor Networks,"Wireless Sensor Networks, Medium Access Control",2008,ipsn
Hojung Cha,Yonsei University,Y-MAC: An Energy-Efficient Multi-Channel MAC Protocol for Dense Wireless Sensor Networks,"Wireless Sensor Networks, Medium Access Control",2008,ipsn
Ashish Goel,Stanford,On the Network Coding Advantage for Wireless Multicast in Euclidean Space,[],2008,ipsn
Sanjeev Khanna,,On the Network Coding Advantage for Wireless Multicast in Euclidean Space,[],2008,ipsn
Hieu Khac Le,Dept. of Comput. Sci.,A Practical Multi-Channel Media Access Control Protocol for Wireless Sensor Networks,"Media Access Control, MAC, Wireless Sensor Networks, Protocol, Multi-Channel",2008,ipsn
Dan Henriksson,Dept. of Comput. Sci.,A Practical Multi-Channel Media Access Control Protocol for Wireless Sensor Networks,"Media Access Control, MAC, Wireless Sensor Networks, Protocol, Multi-Channel",2008,ipsn
Tarek Abdelzaher,Dept. of Comput. Sci.,A Practical Multi-Channel Media Access Control Protocol for Wireless Sensor Networks,"Media Access Control, MAC, Wireless Sensor Networks, Protocol, Multi-Channel",2008,ipsn
