Author_Name,University/Organization,Paper_title,Keywords,Year,Conference
Hungyun  Hsieh,Georgia Institute of Technology,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces,"server migration, seamless handoff, bandwidth aggregation, multi-homed mobile host, heterogeneous wireless networks",2003,mobicom
Kyuhan  Kim,Georgia Institute of Technology,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces,"server migration, seamless handoff, bandwidth aggregation, multi-homed mobile host, heterogeneous wireless networks",2003,mobicom
Yujie  Zhu,Georgia Institute of Technology,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces,"server migration, seamless handoff, bandwidth aggregation, multi-homed mobile host, heterogeneous wireless networks",2003,mobicom
Raghupathy  Sivakumar,Georgia Institute of Technology,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces,"server migration, seamless handoff, bandwidth aggregation, multi-homed mobile host, heterogeneous wireless networks",2003,mobicom
Kai  Xu,University of California Los Angeles,Enhancing TCP Fairness in Ad Hoc Wireless Networks Using Neighborhood RED,"neighborhood RED, NRED, ad hoc network, TCP fairness",2003,mobicom
Mario  Gerla,University of California Los Angeles,Enhancing TCP Fairness in Ad Hoc Wireless Networks Using Neighborhood RED,"neighborhood RED, NRED, ad hoc network, TCP fairness",2003,mobicom
Lantao  Qi,Tianjin University,Enhancing TCP Fairness in Ad Hoc Wireless Networks Using Neighborhood RED,"neighborhood RED, NRED, ad hoc network, TCP fairness",2003,mobicom
Yantai  Shu,Tianjin University,Enhancing TCP Fairness in Ad Hoc Wireless Networks Using Neighborhood RED,"neighborhood RED, NRED, ad hoc network, TCP fairness",2003,mobicom
Robert  Hsieh,University of New South Wales,A Comparison of Mechanisms for Improving Mobile IP Handoff Latency for End-to-End TCP,[],2003,mobicom
A. Seneviratne,University of New South Wales,A Comparison of Mechanisms for Improving Mobile IP Handoff Latency for End-to-End TCP,[],2003,mobicom
