Author_Name,University/Organization,Paper_title,Keywords,Year,Conference
Dheeraj  Narasimha,School of Electrical,A Mean Field Game Analysis of Distributed MAC in Ultra-Dense Multichannel Wireless Networks,[],2019,mobihoc
Sanjay  Shakkottai,Dept. of Electrical and Computer Engineering,A Mean Field Game Analysis of Distributed MAC in Ultra-Dense Multichannel Wireless Networks,[],2019,mobihoc
L. Ying,School of Electrical,A Mean Field Game Analysis of Distributed MAC in Ultra-Dense Multichannel Wireless Networks,[],2019,mobihoc
Qian  Ma,Department of Electrical and Computer Engineering,How Bad is Selfish Caching?,"Selfish caching games, price of anarchy, directed graphs",2019,mobihoc
Edmund  Yeh,Department of Electrical and Computer Engineering,How Bad is Selfish Caching?,"Selfish caching games, price of anarchy, directed graphs",2019,mobihoc
Jianwei  Huang,Chinese University of Hong Kong,How Bad is Selfish Caching?,"Selfish caching games, price of anarchy, directed graphs",2019,mobihoc
Siqian  Yang,Department of Computer Science and Technology,APP: Augmented Proactive Perception for Driving Hazards with Sparse GPS Trace,[],2019,mobihoc
Cheng  Wang,Department of Computer Science and Technology,APP: Augmented Proactive Perception for Driving Hazards with Sparse GPS Trace,[],2019,mobihoc
Hongzi  Zhu,Department of Computer Science and Engineering,APP: Augmented Proactive Perception for Driving Hazards with Sparse GPS Trace,[],2019,mobihoc
ChangJun  Jiang,Department of Computer Science and Technology,APP: Augmented Proactive Perception for Driving Hazards with Sparse GPS Trace,[],2019,mobihoc
Swetankkumar  Saha,University at Buffalo,DeMiLTE: Detecting and Mitigating LTE Interference for Enterprise Wi-Fi in 5 GHz,[],2019,mobihoc
Christina  Vlachou,Hewlett Packard Labs,DeMiLTE: Detecting and Mitigating LTE Interference for Enterprise Wi-Fi in 5 GHz,[],2019,mobihoc
Dimitrios  Koutsonikolas,University at Buffalo,DeMiLTE: Detecting and Mitigating LTE Interference for Enterprise Wi-Fi in 5 GHz,[],2019,mobihoc
Kyuhan  Kim,Hewlett Packard Labs,DeMiLTE: Detecting and Mitigating LTE Interference for Enterprise Wi-Fi in 5 GHz,[],2019,mobihoc
Qingyu  Liu,Electrical and Computer Engineering,Minimizing Age-of-Information with Throughput Requirements in Multi-Path Network Communication,"multi-path routing, time-critical network flow, Age-of-information",2019,mobihoc
Haibo  Zeng,Electrical and Computer Engineering,Minimizing Age-of-Information with Throughput Requirements in Multi-Path Network Communication,"multi-path routing, time-critical network flow, Age-of-information",2019,mobihoc
Minghua  Chen,Information Engineering,Minimizing Age-of-Information with Throughput Requirements in Multi-Path Network Communication,"multi-path routing, time-critical network flow, Age-of-information",2019,mobihoc
Francesco  Restuccia,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Salvatore D'Oro,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Amani  Al-Shawabka,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Mauro  Belgiovine,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Luca  Angioloni,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Stratis  Ioannidis,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Kaushik Roy Chowdhury,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Tommaso  Melodia,Northeastern University,DeepRadioID: Real-Time Channel-Resilient Optimization of Deep Learning-Based Radio Fingerprinting Algorithms,"Deep Learning, Optimization, Radio Fingerprinting, Security, Testbed",2019,mobihoc
Liyang  Zhang,Northeastern University,Jam Sessions: Analysis and Experimental Evaluation of Advanced Jamming Attacks in MIMO Networks,"Reinforcement Learning, Security, Experiments, Theory, Model, Testbed, Jamming, Optimization, Wireless",2019,mobihoc
Francesco  Restuccia,Northeastern University,Jam Sessions: Analysis and Experimental Evaluation of Advanced Jamming Attacks in MIMO Networks,"Reinforcement Learning, Security, Experiments, Theory, Model, Testbed, Jamming, Optimization, Wireless",2019,mobihoc
Tommaso  Melodia,Northeastern University,Jam Sessions: Analysis and Experimental Evaluation of Advanced Jamming Attacks in MIMO Networks,"Reinforcement Learning, Security, Experiments, Theory, Model, Testbed, Jamming, Optimization, Wireless",2019,mobihoc
Scott M Pudlewski,Air Force Research Laboratory,Jam Sessions: Analysis and Experimental Evaluation of Advanced Jamming Attacks in MIMO Networks,"Reinforcement Learning, Security, Experiments, Theory, Model, Testbed, Jamming, Optimization, Wireless",2019,mobihoc
Shaoran  Li,Virginia Polytechnic Institute and State University,Coping Uncertainty in Coexistence via Exploitation of Interference Threshold Violation,"Uncertainty, Underlay coexistence, Scheduling",2019,mobihoc
Yan  Huang,Virginia Polytechnic Institute and State University,Coping Uncertainty in Coexistence via Exploitation of Interference Threshold Violation,"Uncertainty, Underlay coexistence, Scheduling",2019,mobihoc
Chengzhang  Li,Virginia Polytechnic Institute and State University,Coping Uncertainty in Coexistence via Exploitation of Interference Threshold Violation,"Uncertainty, Underlay coexistence, Scheduling",2019,mobihoc
Brian A Jalaian,U.S. Army Research Laboratory,Coping Uncertainty in Coexistence via Exploitation of Interference Threshold Violation,"Uncertainty, Underlay coexistence, Scheduling",2019,mobihoc
Yiweithomas  Hou,Virginia Polytechnic Institute and State University,Coping Uncertainty in Coexistence via Exploitation of Interference Threshold Violation,"Uncertainty, Underlay coexistence, Scheduling",2019,mobihoc
Wenjing  Lou,Virginia Polytechnic Institute and State University,Coping Uncertainty in Coexistence via Exploitation of Interference Threshold Violation,"Uncertainty, Underlay coexistence, Scheduling",2019,mobihoc
Seongwon  Kim,AI Center,Quiet CTS: CTS Power Control for Better Spatial Reuse in Wi-Fi,"transmit power control, exposed node problem, spatial reuse, Wi-Fi",2019,mobihoc
