Author_Name,University/Organization,Paper_title,Keywords,Year,Conference
Olaf  Landsiedel,Chalmers University of Technology,Chaos: Versatile and Efficient All-to-All Data Sharing and in-Network Processing at Scale,"synchronous transmissions, all-to-all communication, in-network processing, wireless sensor networks, capture effect",2013,sensys
Federico  Ferrari,ETH Zurich,Chaos: Versatile and Efficient All-to-All Data Sharing and in-Network Processing at Scale,"synchronous transmissions, all-to-all communication, in-network processing, wireless sensor networks, capture effect",2013,sensys
Marco  Zimmerling,ETH Zurich,Chaos: Versatile and Efficient All-to-All Data Sharing and in-Network Processing at Scale,"synchronous transmissions, all-to-all communication, in-network processing, wireless sensor networks, capture effect",2013,sensys
Simon  Duquennoy,SICS Swedish ICT AB,Let the Tree Bloom: Scalable Opportunistic Routing with ORPL,"opportunistic routing, RPL, wireless sensor network, energy efficiency",2013,sensys
Olaf  Landsiedel,Chalmers University of Technology,Let the Tree Bloom: Scalable Opportunistic Routing with ORPL,"opportunistic routing, RPL, wireless sensor network, energy efficiency",2013,sensys
Thiemo  Voigt,SICS Swedish ICT AB,Let the Tree Bloom: Scalable Opportunistic Routing with ORPL,"opportunistic routing, RPL, wireless sensor network, energy efficiency",2013,sensys
Travis Mandel,University of Washington,Practical Error Correction for Resource-Constrained Wireless Networks: Unlocking the Full Power of the CRC,"error correction, IEEE 802.15.4, performance evaluation, wireless, cyclic redundancy check (CRC), ARQ",2013,sensys
Jens  Mache,Lewis & Clark College,Practical Error Correction for Resource-Constrained Wireless Networks: Unlocking the Full Power of the CRC,"error correction, IEEE 802.15.4, performance evaluation, wireless, cyclic redundancy check (CRC), ARQ",2013,sensys
Tian  Hao,Michigan State University,ISleep: Unobtrusive Sleep Quality Monitoring Using Smartphones,[],2013,sensys
Guoliang  Xing,Michigan State University,ISleep: Unobtrusive Sleep Quality Monitoring Using Smartphones,[],2013,sensys
Gang Zhou,College of William and Mary,ISleep: Unobtrusive Sleep Quality Monitoring Using Smartphones,[],2013,sensys
Chengkang  Hsieh,University of California Los Angeles,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Hongsuda  Tangmunarunkit,University of California Los Angeles,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Faisal  Alquaddoomi,University of California Los Angeles,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
John  Jenkins,Cornell Tech,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Jinha  Kang,University of California Los Angeles,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Cameron  Ketcham,Cornell Tech,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Brent  Longstaff,University of California Los Angeles,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Joshua  Selsky,Cornell Tech,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Betta  Dawson,University of California Los Angeles,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Dallas  Swendeman,University of California Los Angeles Global Center for Children and Families and Psychiatry and Biobehavioral Sciences,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Deborah L Estrin,University of California Los Angeles and Cornell Tech,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Nithya  Ramanathan,University of California Los Angeles and Nexleaf Analytics,Lifestreams: A Modular Sense-Making Toolset for Identifying Important Patterns from Everyday Life,"mobile health, personal data analysis, mobile systems",2013,sensys
Dan  Feldman,Massachusetts Institute of Technology,IDiary: From GPS Signals to a Text-Searchable Diary,"mobile device, GPS, semantic compression, activity recognition, text query",2013,sensys
Andrew  Sugaya,Massachusetts Institute of Technology,IDiary: From GPS Signals to a Text-Searchable Diary,"mobile device, GPS, semantic compression, activity recognition, text query",2013,sensys
