Author_Name,University/Organization,Paper_title,Keywords,Year,Conference
Beichuan  Zhang,University of Arizona,NDN Architecture,[],2020,sigcomm
Lan  Wang,University of Memphis,NDN IoT Applications,[],2020,sigcomm
Alexander Afanasyev,Florida International University,NDN IoT Package,[],2020,sigcomm
Yanbiao  Li,Hunan University,NDN IoT Package,[],2020,sigcomm
Alexander Afanasyev,Florida International University,Hands-on Exercises,[],2020,sigcomm
Yanbiao  Li,Hunan University,Hands-on Exercises,[],2020,sigcomm
Lixia  Zhang,University of California Los Angeles,"Looking Back, Looking Forward: Taking NDN to next Stage",[],2020,sigcomm
Pietro  Bressana,Università della Svizzera italiana,A Programmable Framework for Validating Data Planes,"Programmable networks, Networking hardware, Data plane validation",2018,sigcomm
Noa  Zilberman,University of Cambridge,A Programmable Framework for Validating Data Planes,"Programmable networks, Networking hardware, Data plane validation",2018,sigcomm
Robert Soulé,Università della Svizzera italiana,A Programmable Framework for Validating Data Planes,"Programmable networks, Networking hardware, Data plane validation",2018,sigcomm
Pavol  Mulinka,CTU Czech Technical University in Prague,Adaptive Network Security through Stream Machine Learning,"Data Stream mining, Network Attacks, Machine Learning",2018,sigcomm
Pedro  Casas,AIT Austrian Institute of Technology,Adaptive Network Security through Stream Machine Learning,"Data Stream mining, Network Attacks, Machine Learning",2018,sigcomm
Christoph  Döpmann,TU Berlin,CircuitStart: A Slow Start For Multi-Hop Anonymity Systems,"Tor, multi-hop communication, slow start algorithm",2018,sigcomm
Florian  Tschorsch,TU Berlin,CircuitStart: A Slow Start For Multi-Hop Anonymity Systems,"Tor, multi-hop communication, slow start algorithm",2018,sigcomm
Jiamin  Cao,Tsinghua University,CoFilter: A High-Performance Switch-Assisted Stateful Packet Filter,"P4, stateful packet filter",2018,sigcomm
Jun Bi,Tsinghua University,CoFilter: A High-Performance Switch-Assisted Stateful Packet Filter,"P4, stateful packet filter",2018,sigcomm
Yu Zhou,Tsinghua University,CoFilter: A High-Performance Switch-Assisted Stateful Packet Filter,"P4, stateful packet filter",2018,sigcomm
Cheng  Zhang,Tsinghua University,CoFilter: A High-Performance Switch-Assisted Stateful Packet Filter,"P4, stateful packet filter",2018,sigcomm
Pedro De B Marcos,UFRGS and FURG,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Marco Chiesa,KTH Royal Institute of Technology,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Lucas  Müller,UFRGS and CAIDA/University of California San Diego,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Pradeeban  Kathiravelu,INESC-ID and Université catholique de Louvain,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Christoph  Dietzel,DE-CIX / TU Berlin,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Marco Canini,KAUST,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Marinho Barcellos,UFRGS,Dynam-IX: A Dynamic Interconnection EXchange,"Peering, Internet eXchange Point",2018,sigcomm
Shengbao  Zheng,Duke University,DynaShield: A Cost-Effective DDoS Defense Architecture,"Serverless, DDoS, Cryptocurrency Mining, On-demand",2018,sigcomm
Xiaowei  Yang,Duke University,DynaShield: A Cost-Effective DDoS Defense Architecture,"Serverless, DDoS, Cryptocurrency Mining, On-demand",2018,sigcomm
Suraj  Jog,University of Illinois Urbana Champaign,Enabling Dense Spatial Reuse in MmWave Networks,"VR, Beam Alignment, Spatial Reuse, Millimeter Wave",2018,sigcomm
Jiaming  Wang,University of Illinois Urbana Champaign,Enabling Dense Spatial Reuse in MmWave Networks,"VR, Beam Alignment, Spatial Reuse, Millimeter Wave",2018,sigcomm
Haitham Hassanieh,University of Illinois Urbana Champaign,Enabling Dense Spatial Reuse in MmWave Networks,"VR, Beam Alignment, Spatial Reuse, Millimeter Wave",2018,sigcomm
Romit Roy Choudhury,University of Illinois Urbana Champaign,Enabling Dense Spatial Reuse in MmWave Networks,"VR, Beam Alignment, Spatial Reuse, Millimeter Wave",2018,sigcomm
Dragos  Dumitrescu,University Politehnica of Bucharest,Equivalence and Its Applications to Network Verification,[],2018,sigcomm
Radu  Stoenescu,University Politehnica of Bucharest,Equivalence and Its Applications to Network Verification,[],2018,sigcomm
Matei  Popovici,University Politehnica of Bucharest,Equivalence and Its Applications to Network Verification,[],2018,sigcomm
Lorina  Negreanu,University Politehnica of Bucharest,Equivalence and Its Applications to Network Verification,[],2018,sigcomm
Costin  Raiciu,University Politehnica of Bucharest,Equivalence and Its Applications to Network Verification,[],2018,sigcomm
Jaichen  Xue,Purdue University,Fast Congestion Control in RDMA-Based Datacenter Networks,"Datacenters, Congestion Control, RDMA",2018,sigcomm
Muhammad Usama Chaudhry,University of Illinois Chicago,Fast Congestion Control in RDMA-Based Datacenter Networks,"Datacenters, Congestion Control, RDMA",2018,sigcomm
Balajee Vamanan,University of Illinois Chicago,Fast Congestion Control in RDMA-Based Datacenter Networks,"Datacenters, Congestion Control, RDMA",2018,sigcomm
T N Vijaykumar,Purdue University,Fast Congestion Control in RDMA-Based Datacenter Networks,"Datacenters, Congestion Control, RDMA",2018,sigcomm
Mithuna Shamabhat Thottethodi,Purdue University,Fast Congestion Control in RDMA-Based Datacenter Networks,"Datacenters, Congestion Control, RDMA",2018,sigcomm
Qiao  Xiang,Tongji/Yale,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
J. Jensen Zhang,Tongji,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
X Tony Wang,Tongji,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
Y Jace Liu,Tongji,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
Chin  Guok,LBNL,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
Franck  Le,IBM Research,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
John  MacAuley,LBNL,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
Harvey B Newman,Caltech,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
Richardyang  Yang,Tongji/Yale,"Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences","Collaborative Data Sciences, Resource Discovery, Resource State Abstraction, Interdomain",2018,sigcomm
Said Jawad Saidi,MPI-Informatics,Flowtree: Enabling Distributed Flow Summarization at Scale,"Flow Summarization, Network Monitoring",2018,sigcomm
Damien  Foucard,TU Berlin,Flowtree: Enabling Distributed Flow Summarization at Scale,"Flow Summarization, Network Monitoring",2018,sigcomm
Georgios Smaragdakis,TU Berlin / Massachusetts Institute of Technology,Flowtree: Enabling Distributed Flow Summarization at Scale,"Flow Summarization, Network Monitoring",2018,sigcomm
Anja  Feldmann,MPI-Informatics / UDS,Flowtree: Enabling Distributed Flow Summarization at Scale,"Flow Summarization, Network Monitoring",2018,sigcomm
Omer S Sella,University of Cambridge,High Speed Adaptive Rack-Scale Fabrics,[],2018,sigcomm
Andrew W Moore,University of Cambridge,High Speed Adaptive Rack-Scale Fabrics,[],2018,sigcomm
Noa  Zilberman,University of Cambridge,High Speed Adaptive Rack-Scale Fabrics,[],2018,sigcomm
Brivaldo  Junior,UFMS,High-Fidelity Interdomain Routing Experiments,"testbed, experimentation, Interdomain routing, BGP",2018,sigcomm
Ronaldo A. Ferreira,UFMS,High-Fidelity Interdomain Routing Experiments,"testbed, experimentation, Interdomain routing, BGP",2018,sigcomm
Ítalo S Cunha,UFMG,High-Fidelity Interdomain Routing Experiments,"testbed, experimentation, Interdomain routing, BGP",2018,sigcomm
Brandon Carl Schlinker,University of Southern California,High-Fidelity Interdomain Routing Experiments,"testbed, experimentation, Interdomain routing, BGP",2018,sigcomm
Ethan B Katz-Bassett,Columbia,High-Fidelity Interdomain Routing Experiments,"testbed, experimentation, Interdomain routing, BGP",2018,sigcomm
Zeqi  Lai,Tsinghua University,Immersion on the Edge: A Cooperative Framework for Mobile Immersive Computing,"Mobile Edge, Immersive Computing, Mobile Devices",2018,sigcomm
Yong  Cui,Tsinghua University,Immersion on the Edge: A Cooperative Framework for Mobile Immersive Computing,"Mobile Edge, Immersive Computing, Mobile Devices",2018,sigcomm
Ziyi  Wang,Tsinghua University,Immersion on the Edge: A Cooperative Framework for Mobile Immersive Computing,"Mobile Edge, Immersive Computing, Mobile Devices",2018,sigcomm
Xiaoyu  Hu,Tsinghua University,Immersion on the Edge: A Cooperative Framework for Mobile Immersive Computing,"Mobile Edge, Immersive Computing, Mobile Devices",2018,sigcomm
