Name,University/Organization,Type of Chair,Conference,Year
Raymond Pickholtz,George Washington University,ORGANIZING COMMITTEE General Chair,MobiCom,2000
Sajal K. Das,University of Texas Arlington,General Vice Chair,MobiCom,2000
Ramon Caceres,AT&T Labs,Program Co-Chair,MobiCom,2000
J.J. Garcia-Luna-Aceves,University of California Santa Cruz,Program Co-Chair,MobiCom,2000
Imrich Chlamtac,University of Texas Dallas,Steering Committee Chair,MobiCom,2000
Venkat Padmanabhan,Microsoft Research,Tutorials Co-chair,MobiCom,2000
Nigel Davies,Lancaster University,Tutorials Co-chair,MobiCom,2000
Pravin Bhagwat,AT&T Labs,Panels Co-chair,MobiCom,2000
Andrew Campbell,Columbia University,Panels Co-chair,MobiCom,2000
Ronald Hutchins,Georgia Institute of Technology,Research Demos Chair,MobiCom,2000
Jason Redi,BBN Technologies,Workshops Chair,MobiCom,2000
Rajesh Krishnan,BBN Technologies,Local Arrangements Chair,MobiCom,2000
Ashutosh Dutta,Telcordia Technologies,Publicity Co-chair,MobiCom,2000
Samir R. Das,University of Cincinnati,Publicity Co-chair,MobiCom,2000
Kwang-Cheng Chen,National Taiwan University,Publicity Co-chair,MobiCom,2000
Irene Katzela,Lucent Technologies,Registration Chair,MobiCom,2000
David B. Johnson,Carnegie Mellon University and Rice University,Finance Chair,MobiCom,2000
Andrew Campbell,Columbia University,Industry Exhibits/Sponsorships Chair,MobiCom,2000
Prithwish Basu,Boston University,Student Volunteer Coordinator,MobiCom,2000
Deborah Cavlovich,Carnegie Mellon University,Advance Registration,MobiCom,2000
Adam Wolisz,TU Berlin,European Liaison,MobiCom,2000
K.-C. Chua,National University of Singapore,Asia/Pacific Liaisons,MobiCom,2000
Hiroyuki Morikawa,University of Tokyo,Asia/Pacific Liaisons,MobiCom,2000
Arup Acharya,IBM Research,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Ian Akyildiz,Georgia Institute of Technology,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
B. Badrinath,Rutgers University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Mary Baker,Stanford,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Victor Bahl,Microsoft Research,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Hari Balakrishnan,Massachusetts Institute of Technology,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Stefano Basagni,University of Texas Dallas,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Pravin Bhagwat,AT&T Labs,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Vaduvur Bharghavan,University of Illinois,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Andrew Campbell,Columbia University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Scott Corson,University of Maryland,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Sajal Das,University of Texas Arlington,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Nigel Davies,Lancaster University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Dan Duchamp,AT&T Labs,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Metin Feridun,IBM Research,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Armando Fox,Stanford,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Mario Gerla,University of CaliforniaLos Angeles,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Zygmunt Haas,Cornell University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Tomasz Imielinski,Rutgers University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Ravi Jain,Telcordia,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
David B. Johnson,Carnegie Mellon University and Rice University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Anthony Joseph,University of California Berkeley,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Tom LaPorta,Lucent,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Venkat Padmanabhan,Microsoft Research,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Charles Perkins,Nokia Research Center,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Chiara Petrioli,Politecnico di Milano,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
George Polyzos,University of California San Diego,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Ramesh Rao,University of California San Diego,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Ram Ramanathan,BBN Technologies,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Jason Redi,BBN Technologies,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Christopher Rose,Rutgers University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
M. Satyanarayanan,Carnegie Mellon University,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Srini Seshan,IBM Research,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Adarshpal Sethi,University of Delaware,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Martha Steenstrup,BBN Technologies,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Roy Want,Xerox PARC,TECHNICAL PROGRAM COMMITTEE,MobiCom,2000
Parmesh Ramanathan,Madison,Organizing Committee General Chair,MobiCom,2011
Thyaga Nandagopal,Alcatel-Lucent,Program Co-Chair,MobiCom,2011
Brian Levine,Amherst,Program Co-Chair,MobiCom,2011
Lori Burrow,Madison,Finance Chair,MobiCom,2011
Violet Syrotiuk,Arizona State University,Registration Chair,MobiCom,2011
Mei Yang,Las Vegas,Local Arrangements Chair,MobiCom,2011
Yih-Chun Hu,University of Illinois Urbana Champaign,Web and Publicity Co-Chair,MobiCom,2011
Habib M. Ammari,University of Michigan Dearborn,Web and Publicity Co-Chair,MobiCom,2011
Kuang-Ching Wang,Clemson University,Workshops Co-Chair,MobiCom,2011
Aditya Akella,University of Wisconsin Madison,Workshops Co-Chair,MobiCom,2011
Xi Zhang,Texas A&M University,"Demos, Posters, and Panels Chair",MobiCom,2011
Bechir Hamdaoui,Oregon State University,Student Grants and Student Research Competition Chair,MobiCom,2011
Victor Bahl,Microsoft Research,Steering Committee,MobiCom,2011
Imrich Chlamtac,Create-Net,Steering Committee,MobiCom,2011
David B. Johnson,Rice University,Steering Committee,MobiCom,2011
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2011
Aruna   Balasubramanian,University of Washington,Program Committee,MobiCom,2011
Nilanjan        Banerjee,University of Arkansas,Program Committee,MobiCom,2011
Yigal   Bejerano,Bell Labs,Program Committee,MobiCom,2011
Elizabeth       Belding,University of California Santa Barbara,Program Committee,MobiCom,2011
Milind  Buddhikot,Bell Labs,Program Committee,MobiCom,2011
Sunghyun        Choi,Seoul National University,Program Committee,MobiCom,2011
Romit   Choudhury,Duke University,Program Committee,MobiCom,2011
Mark    Corner,University of Massachusetts Amherst,Program Committee,MobiCom,2011
Landon  Cox,Duke University,Program Committee,MobiCom,2011
Samir   Das,Stony Brook University,Program Committee,MobiCom,2011
Nigel   Davies,Lancaster University,Program Committee,MobiCom,2011
Prabal  Dutta,University of Michigan,Program Committee,MobiCom,2011
Deepak  Ganesan,University of Massachusetts Amherst,Program Committee,MobiCom,2011
