Name,University/Organization,Type of Chair,Conference,Year
Xiaohua Jia,City University of Hong Kong,Committees General Chair,MobiHoc,2008
Ness B. Shroff,Ohio State University,Program Co-Chair,MobiHoc,2008
Pengjun Wan,Illinois Institute of Technology,Program Co-Chair,MobiHoc,2008
Yan Zhang,Simula Research Laboratory,Industrial Co-Chair,MobiHoc,2008
Shamila Makki,Florida International University,Industrial Co-Chair,MobiHoc,2008
Guoliang Xue,Arizona State University,Panel Chair,MobiHoc,2008
Ivan Stojmenovic,University of Birmingham,Workshops Chair,MobiHoc,2008
Randy Berry,Northwestern University,Tutorial Co-Chair,MobiHoc,2008
Qian Zhang,Hong Kong University of Science and Technology,Tutorial Co-Chair,MobiHoc,2008
Mihaela Cardei,Florida Atlantic University,Poster Chair,MobiHoc,2008
My T. Thai,University of Florida,Publicity Chair,MobiHoc,2008
Jianping Wang,City University of Hong Kong,Registration Chair and Treasurer,MobiHoc,2008
Victor Lee,City University of Hong Kong,Local Organization Chair,MobiHoc,2008
Imad Aad,DoCoMo Eurolabs,Program Committee,MobiHoc,2008
Ian Akyildiz,Georgia Institute of Technology,Program Committee,MobiHoc,2008
Sem Borst,Bell Labs,Program Committee,MobiHoc,2008
Guohong Cao,Penn State,Program Committee,MobiHoc,2008
Xiuzhen Cheng,George Washington University,Program Committee,MobiHoc,2008
Jon Crowcroft,University of Cambridge,Program Committee,MobiHoc,2008
Eylem Ekici,OSU,Program Committee,MobiHoc,2008
Tony Ephremidis,University of Maryland,Program Committee,MobiHoc,2008
Do Young Eun,North Carolina State,Program Committee,MobiHoc,2008
Mike Fang,University of Florida,Program Committee,MobiHoc,2008
Laura Galluccio,University of Catania,Program Committee,MobiHoc,2008
Jie Gao,Stony Brook University,Program Committee,MobiHoc,2008
Mario Gerla,University of California at Los Angeles,Program Committee,MobiHoc,2008
Per Gunninberg,Uppsala University,Program Committee,MobiHoc,2008
Omer Gurewitz,Rice/Technion,Program Committee,MobiHoc,2008
Jennifer Hou,University of Illinois Urbana Champaign,Program Committee,MobiHoc,2008
Jean-Pierre Hubaux,EPFL,Program Committee,MobiHoc,2008
