Name,University/Organization,Type of Chair,Conference,Year
Raghu K. Ganti,IBM Research,Organizing Committee General Chair,SenSys,2019
Xiaofan,Columbia University,Organizing Committee General Chair,SenSys,2019
Gian Pietro Picco,University of Trento,Program Chair,SenSys,2019
Xia Zhou,Dartmouth College,Program Chair,SenSys,2019
Akshay Uttama Nambi S N,Microsoft Research,Workshop Chair,SenSys,2019
Chenren Xu,Peking University,Workshop Chair,SenSys,2019
Yeonsup Lim,IBM Research,Poster and Demo Chair,SenSys,2019
Shahriar Nirjon,University of North Carolina Chapel Hill,Poster and Demo Chair,SenSys,2019
Ramya Raghavendra,IBM Research,PhD Forum Chair,SenSys,2019
Niki Trigoni,University of Oxford,PhD Forum Chair,SenSys,2019
Stephen Xia,Columbia University,Web Chair,SenSys,2019
Rui Tan,Nanyang Technological University,Finance Chair,SenSys,2019
Tam Vu,University of Colorado Boulder,Finance Chair,SenSys,2019
Shijia Pan,University of California Merced,Publicity Chair,SenSys,2019
Mi Zhang,Michigan State University,Publication Chair,SenSys,2019
Hyung-Sin Kim,University of California Berkeley,Social Media Chair,SenSys,2019
Desheng Zhang,Rutgers University,Social Media Chair,SenSys,2019
Polly Huang,National Taiwan University,Student Travel Grants Chair,SenSys,2019
Lu Su,SUNY Buffalo,Student Travel Grants Chair,SenSys,2019
Tingjun Chen,Columbia University,Local Arrangements Chair,SenSys,2019
Andrew Campbell,Dartmouth College,Main TPC Member,SenSys,2019
Yingying,Rutgers University,Main TPC Member,SenSys,2019
Tanzeem Choudhury,Cornell University,Main TPC Member,SenSys,2019
Prabal Dutta,University of California Berkeley,Main TPC Member,SenSys,2019
Jie Gao,Stony Brook University,Main TPC Member,SenSys,2019
Omprakash Gnawali,University of Houston,Main TPC Member,SenSys,2019
Marco Gruteser,Rutgers University,Main TPC Member,SenSys,2019
Yuan He,Tsinghua University,Main TPC Member,SenSys,2019
Polly Huang,National Taiwan University,Main TPC Member,SenSys,2019
David Kotz,Dartmouth College,Main TPC Member,SenSys,2019
Olaf Landsiedel,University of Kiel,Main TPC Member,SenSys,2019
Nic Lane,University of Oxford and Samsung AI,Main TPC Member,SenSys,2019
Jie Liu,Microsoft Research,Main TPC Member,SenSys,2019
Cecilia Mascolo,University of Cambridge,Main TPC Member,SenSys,2019
Luca Mottola,Italy and RI.Se SICS AB,Main TPC Member,SenSys,2019
Klara Nahrstedt,University of Illinois Urbana Champaign,Main TPC Member,SenSys,2019
Kay Romer,Graz University of Technology,Main TPC Member,SenSys,2019
Anthony Rowe,Carnegie Mellon University,Main TPC Member,SenSys,2019
Jacob Sorber,Clemson University,Main TPC Member,SenSys,2019
Kannan Srinivasan,Ohio State University,Main TPC Member,SenSys,2019
Tam Vu,University of Colorado Boulder,Main TPC Member,SenSys,2019
Pei Zhang,Carnegie Mellon University,Main TPC Member,SenSys,2019
Marco Zimmerling,TU Dresden,Main TPC Member,SenSys,2019
Marco Zuniga Zamalloa,TU Delft,Main TPC Member,SenSys,2019
Paolo Casari,IMDEA Networks Institute,External TPC Member,SenSys,2019
Xiuzhen Cheng,George Washington University,External TPC Member,SenSys,2019
Shyam Gollakota,University of Washington,External TPC Member,SenSys,2019
Wen Hu,University of New South Wales and CSIRO,External TPC Member,SenSys,2019
Sung-Ju Lee,KAIST,External TPC Member,SenSys,2019
Mo Li,Nanyang Technological University,External TPC Member,SenSys,2019
Yung-Hsiang Lu,Purdue University,External TPC Member,SenSys,2019
Qin Lv,University of Colorado Boulder,External TPC Member,SenSys,2019
Andrew Markham,University of Oxford,External TPC Member,SenSys,2019
Archan Misra,Singapore Management University,External TPC Member,SenSys,2019
