Name,University/Organization,Type of Chair,Conference,Year
Arvind Krishnamurthy,University of Washington,Program Committee Chair,SigComm,2014
Sylvia Ratnasamy,University of California Berkeley,Program Committee Chair,SigComm,2014
Aditya Akella,University of Wisconsin,Program Committee Member,SigComm,2014
Katerina Argyraki,EPFL,Program Committee Member,SigComm,2014
Guido Appenzeller,Big Switch Networks,Program Committee Member,SigComm,2014
Hitesh Ballani,Microsoft Research,Program Committee Member,SigComm,2014
Paul Barford,University of Wisconsin,Program Committee Member,SigComm,2014
Matt Caesar,University of Illinois,Program Committee Member,SigComm,2014
Augustin Chaintreau,Columbia University,Program Committee Member,SigComm,2014
Bruce Davie,VMware,Program Committee Member,SigComm,2014
Christophe Diot,Technicolor,Program Committee Member,SigComm,2014
Nandita Dukkipati,Google,Program Committee Member,SigComm,2014
Rodrigo Fonseca,Brown University,Program Committee Member,SigComm,2014
Nate Foster,Cornell University,Program Committee Member,SigComm,2014
Ali Ghodsi,University of California Berkeley,Program Committee Member,SigComm,2014
Paul Francis,Max Planck Institute,Program Committee Member,SigComm,2014
Sharon Goldberg,Boston University,Program Committee Member,SigComm,2014
Brighten Godfrey,University of Illinois,Program Committee Member,SigComm,2014
Shyam Gollakota,University of Washington,Program Committee Member,SigComm,2014
Saikat Guha,Microsoft Research,Program Committee Member,SigComm,2014
Krishna Gummadi,Max Planck Institute,Program Committee Member,SigComm,2014
Chuanxiong Guo,Microsoft Research,Program Committee Member,SigComm,2014
Polly Huang,National Taiwan University,Program Committee Member,SigComm,2014
Kyle Jamieson,University College London,Program Committee Member,SigComm,2014
Brad Karp,University College London,Program Committee Member,SigComm,2014
Ethan Katz-Bassett,University of Southern California,Program Committee Member,SigComm,2014
Teemu Koponen,VMware,Program Committee Member,SigComm,2014
Harsha Madhyastha,University of California Riverside,Program Committee Member,SigComm,2014
Ratul Mahajan,Microsoft Research,Program Committee Member,SigComm,2014
Nick McKeown,Stanford,Program Committee Member,SigComm,2014
