Name,University/Organization,No_of_times_as_TPC
Bill Kaiser,University of California Los Angeles,4
Sam Madden,Massachusetts Institute of Technology,3
Subhash Suri,University of California Santa Barbara,4
Jie Liu,Microsoft Research,7
Andreas Savvides,Yale,5
Andreas Terzis,Johns Hopkins University,9
Ralph Kling,Crossbow,6
Kamin Whitehouse,University of Virginia,14
Tarek Abdelzaher,University of Illinois Urbana Champaign,16
Jie Gao,Stony Brook University,8
Ying Zhang,PARC,3
Chris Gill and Chenyang Lu,Washington University in St. Louis,1
Feng Zhao,Microsoft Research,7
Deborah Estrin,University of California Los Angeles,11
Leo Guibas,Stanford,11
P.R. Kumar,University of Illinois Urbana Champaign,4
Sri Kumar,BAE Systems,3
Jose Moura,Carnegie Mellon University,4
John Stankovic,University of Virginia,9
Janos Sztipanovits,Vanderbilt University,12
Gustavo Alonso,ETH Zurich,1
Anish Arora,Ohio State,1
Richard Baraniuk,Rice University,2
Philippe Bonnet,University of Copenhagen,1
Andrew Campbell,Columbia University,1
Mark Coates,McGill,1
David Culler,University of California Berkeley,5
Amol Deshpande,Maryland,1
Hugh Durrant-Whyte,University of Sydney,2
Stefan Funke,Max Planck,1
Michael Gastpar,University of California Berkeley,5
Phil Gibbons,Intel,2
Uwe Hanebeck,Karlsruhe,1
John Heideman,University of Southern California,1
Volkan Isler,RPI,1
Phil Levis,Stanford,5
Upamanyu Madhow,University of California Santa Barbara,1
Thomas Moscibroda,Microsoft Research,2
Randy Moses,Ohio State,1
Suman Nath,Microsoft Research,8
Peng Ning,North Carolina State University,1
Radha Poovendran,University of Washington,3
Christian Scheideler,Johns Hopkins University,1
Steven Wicker,Cornell,1
Peter Widmayer,ETH Zurich,1
Andreas Andreou,Johns Hopkins University,3
Gaetano Borriello,University of Washington,1
Peter Corke,CSIRO Australia,1
Adam Dunkels,Swedish Institute of Computer Science,5
Ben Greenstein,Intel,1
Rajesh Gupta,University of California San Diego,5
Koen Langendoen,TU Delft,10
Akos Ledeczi,Vanderbilt University,7
Lama Nachman,Intel,2
Joe Paradiso,Massachusetts Institute of Technology,3
Bodhi Priyantha,Microsoft Research,3
Vijay Raghunathan,Purdue,3
Wayne Wolf,Princeton,1
Kazuo Yano,Hitachi,1
Guoliang Xing,Michigan State University,4
Niki Trigoni,University of Oxford,3
Lu Su,SUNY Buffalo,1
Tian He,University of Minnesota,8
Xiaofan,Columbia University,2
Thiemo Voigt,"SICS, Sweden",2
Dimitrios Lymberopoulos,Microsoft Research,5
JeongGil Ko,Ajou University,1
Yuanqing Zheng,Hong Kong Polytechnic University,1
Luca Mottola,"Politecnico di Milano, Italy",1
Octav Chipara,University of Iowa,1
Nirupama Bulusu,Portland State University,4
Utz Roedig,University of Lancaster,2
Mário Alves,"Polytechnic Institute of Porto, Portugal",1
Tamer Nadeem,Old Dominion University,1
Yanmin Zhu,Shanghai Jiao Tong University,1
Alberto Cerpa,University of California Merced,3
Karthik Dantu,University at Buffalo,1
Omprakash Gnawali,University of Houston,8
Magnus Halldorsson,Reykjavik University,1
Wei Hong,Nest Labs,1
Wen Hu,"University of New South Wales, and NICTA",1
Polly Huang,National Taiwan University,5
Andreas Krause,ETH Zurich,1
Bhaskar Krishnamachari,University of Southern California,10
