Name,University/Organization,No_of_times_as_TPC
Raymond Pickholtz,George Washington University,1
Sajal K. Das,University of Texas Arlington,1
Ramon Caceres,AT&T Labs,2
J.J. Garcia-Luna-Aceves,University of California Santa Cruz,2
Imrich Chlamtac,University of Texas Dallas,6
Venkat Padmanabhan,Microsoft Research,5
Nigel Davies,Lancaster University,10
Pravin Bhagwat,AT&T Labs,3
Andrew Campbell,Columbia University,6
Ronald Hutchins,Georgia Institute of Technology,1
Jason Redi,BBN Technologies,3
Rajesh Krishnan,BBN Technologies,2
Ashutosh Dutta,Telcordia Technologies,1
Samir R. Das,University of Cincinnati,1
Kwang-Cheng Chen,National Taiwan University,1
Irene Katzela,Lucent Technologies,1
David B. Johnson,Carnegie Mellon University and Rice University,2
Prithwish Basu,Boston University,1
Deborah Cavlovich,Carnegie Mellon University,1
Adam Wolisz,TU Berlin,5
K.-C. Chua,National University of Singapore,1
Hiroyuki Morikawa,University of Tokyo,2
Arup Acharya,IBM Research,4
Ian Akyildiz,Georgia Institute of Technology,3
B. Badrinath,Rutgers University,1
Mary Baker,Stanford,2
Victor Bahl,Microsoft Research,30
Hari Balakrishnan,Massachusetts Institute of Technology,2
Stefano Basagni,University of Texas Dallas,3
Vaduvur Bharghavan,University of Illinois,1
Scott Corson,University of Maryland,1
Sajal Das,University of Texas Arlington,6
Dan Duchamp,AT&T Labs,1
Metin Feridun,IBM Research,1
Armando Fox,Stanford,2
Mario Gerla,University of CaliforniaLos Angeles,3
Zygmunt Haas,Cornell University,2
Tomasz Imielinski,Rutgers University,1
Ravi Jain,Telcordia,2
Anthony Joseph,University of California Berkeley,6
Tom LaPorta,Lucent,2
Charles Perkins,Nokia Research Center,2
Chiara Petrioli,Politecnico di Milano,1
George Polyzos,University of California San Diego,1
Ramesh Rao,University of California San Diego,3
Ram Ramanathan,BBN Technologies,8
Christopher Rose,Rutgers University,4
M. Satyanarayanan,Carnegie Mellon University,1
Srini Seshan,IBM Research,1
Adarshpal Sethi,University of Delaware,1
Martha Steenstrup,BBN Technologies,1
Roy Want,Xerox PARC,1
Parmesh Ramanathan,Madison,1
