Name,University/Organization,No_of_times_as_TPC
Xiaohua Jia,City University of Hong Kong,1
Ness B. Shroff,Ohio State University,3
Pengjun Wan,Illinois Institute of Technology,1
Yan Zhang,Simula Research Laboratory,1
Shamila Makki,Florida International University,1
Guoliang Xue,Arizona State University,8
Ivan Stojmenovic,University of Birmingham,1
Randy Berry,Northwestern University,1
Qian Zhang,Hong Kong University of Science and Technology,1
Mihaela Cardei,Florida Atlantic University,1
My T. Thai,University of Florida,1
Jianping Wang,City University of Hong Kong,1
Victor Lee,City University of Hong Kong,1
Imad Aad,DoCoMo Eurolabs,1
Ian Akyildiz,Georgia Institute of Technology,4
Sem Borst,Bell Labs,1
Guohong Cao,Penn State,1
Xiuzhen Cheng,George Washington University,6
Jon Crowcroft,University of Cambridge,2
Eylem Ekici,OSU,1
Tony Ephremidis,University of Maryland,1
Do Young Eun,North Carolina State,1
Mike Fang,University of Florida,1
Laura Galluccio,University of Catania,6
Jie Gao,Stony Brook University,8
Mario Gerla,University of California at Los Angeles,5
Per Gunninberg,Uppsala University,1
Omer Gurewitz,Rice/Technion,1
Jennifer Hou,University of Illinois Urbana Champaign,2
Jean-Pierre Hubaux,EPFL,16
Predrag Jelekovic,Columbia,1
Changhee Joo,OSU,1
DongSeong Kim,Korea UMD,1
Prashant Krishnamurthy,University of Pittsburgh,1
Richard La,University of Maryland,3
Jang Won Lee,Yonsei University,1
Wonjun Lee,Korea University,1
Baochun Li,University of Toronto,1
Jianzhong Li,Harbin Institute of Technology,1
Qun Li,College of William and Mary,1
Christoph Lindemann,University of Leipzig,2
Xiangyang Li,Illinois Institute of Technology,3
Xiaojun Lin,Purdue University,10
Xin Liu,University of California Davis,1
Yunhao Liu,Hong Kong UST,1
Wei Lou,Hong Kong Polytechnic University,2
Wenjing Lou,WPI,1
Armand Makowski,University of Maryland,4
Ravi Mazumdar,University of Waterloo,3
Gopal Pandurangan,Purdue University,1
Panos Papadimitratos,EPFL,1
Charles E. Perkins,Nokia,5
Kostas Psounis,University of Southern California,3
Saswati Sarkar,University of Pennsylvania,10
Michael Segal,Ben-Gurion University of the Negev,1
Prasun Sinha,OSU,1
Patrick Thiran,EPFL,2
Don Towsley,University of Massachusetts Amherst,1
Xudong Wang,Kiyon,1
Yuexuan Wang,Tsinghua University,1
Roger Wattenhofer,ETH Zurich,5
Yang Xiao,University of Alabama,1
Guoliang Xing,City University of Hong Kong,1
David Yau,Purdue University,1
Chih-Wei Yi,National Chiao Tung University,1
Lei Ying,University of Texas Austin,1
Junshan Zhang,ASU,1
Qian Zhang,Hong Kong UST,1
Zhi-Li Zhang,University or Minnesota,1
Jean-Pierre Hubaux (chair),EPFL,1
Mario Gerla,University of California Los Angeles,22
Joe Macker,Naval Research Lab,8
Martha Steenstrup,Clemson University and Stow Research L.L.C.,4
P. R. Kumar,University of Illinois Urbana Champaign,5
Sergio Palazzo,University of Catania,16
Nitin H. Vaidya,University of Illinois Urbana Champaign,7
M. Scott Corson,Flarion Technologies,1
Samir R. Das,University of Cincinnati,2
Jean-Pierre Hubaux,Swiss Federal Institute of Technology,1
Srikanth Krishnamurthy,University of California Riverside,5
Stefano Basagni,University of Texas Dallas,2
Violet R. Syrotiuk,University of Texas Dallas,2
Young-Bae Ko,IBM T.J. Watson Research,1
Songwu Lu,University of California Los Angeles,4
Sung-Ju Lee,Hewlett-Packard Labs,1
Katia Obraczka,University of California Santa Cruz,2
John Heidemann,ISI-USC,1
Zygmunt Haas,Cornell University,3
Andrew Campbell,Columbia University,5
J.J. Garcia-Luna-Aceves,University of California Santa Cruz,3
Joseph P. Macker,NRL,2
Charles E. Perkins,Nokia Research,3
Ram Ramanathan,BBN Technologies,5
Martha Steenstrup,Stow Research,4
C-K. Toh,Georgia Institute of Technology,3
Dennis Baker,NRL,1
Pravin Bhagwat,ReefEdge,1
Anthony Ephremides,University of Maryland,5
Ramesh Govindan,USC/ISI,1
Phillippe Jacquet,INRIA,1
David B. Johnson,Rice University,6
Tony Larsson,Ericsson Research,1
Joe Macker,NRL,1
David Maltz,AON Networks,2
Gyorgy Miklos,Ericsson Research,1
Richard Ogier,SRI,1
Vincent Park,Flarion Technologies,1
Charles Perkins,Nokia Research,2
Amir Qayyum,INRIA,1
Andras Racz,Ericsson Research,2
Jason Redi,BBN Technologies,3
Elizabeth Royer,University of California Santa Barbara,1
Leandros Tassiulas,University of Maryland,1
Fred Templin,SRI,1
Falko Dressler,University of Paderborn,1
Friedhelm Meyer auf der Heide,University of Paderborn,1
Koushik Kar,Rensselaer Polytechnic Institute,8
Srinivas Shakkottai,Texas A&M University,9
P. R. Kumar ,Texas A&M University,4
Joseph Macker,Naval Research Lab,7
Charles Perkins,WiChorus,7
Martha Steenstrup,Clemson University,2
Linda Xie,University of North Carolina Charlotte,1
Emilio Leonardi,Politecnico di Torino,7
Yingying Chen,Stevens Institute of Technology,4
Carla Chiasserini,Politecnico di Torino,1
Tommaso Melodia,Northeastern University,6
Wenye Wang,North Carolina State University,2
Mo Li,Nanyang Technological University,2
Paolo Santi,Consiglio Nazionale delle Ricerche,1
Kaushik Chowdhury,Northeastern University,2
Christoph Sommer,University of Paderborn,1
Renato Lo Cigno,University of Trento,1
Hannes Frey,Universität Koblenz-Landau,1
Xinbing Wang,Shanghai Jiao Tong University,4
Marco Gruteser,Rutgers University,2
Ulf-Peter Schroeder,University of Paderborn,1
Bastian Bloessl,University of Paderborn,1
Abusayeed Saifullah,Missouri University of Science and Technology,1
Alhussein Abouzeid,Rensselaer Polytechnic Institute,5
Aradhana Narula-Tam,Massachusetts Institute of Technology,3
Athina Markopoulou,University of California Irvine,3
Atilla Eryilmaz,Ohio State University,8
Carla-Fabiana Chiasserini,Politecnico di Torino,9
Chiara Petrioli,Sapienza University of Rome,2
D. Manjunath,Indian Institute of Technology Bombay,2
Dan Rubenstein,Columbia University,2
Do Young Eun,North Carolina State University,5
Don Towsley,University of Massachusetts at Amherst,1
Dongning Guo,Northwestern University,4
Eytan Modiano,Massachusetts Institute of Technology,11
Fan Wu,Jiao Tong University,3
Florin Ciucu,University of Warwick,6
Gaurav Kasbekar,Indian Institute of Technology Bombay,5
Gaurav Raina,Indian Institute of Technology Madras,2
Gil Zussman,Columbia University,5
Gustavo de Veciana,University of Texas Austin,4
I-Hong Hou,Texas A&M University,9
Iordanis Koutsopoulos,Athens University of Economics and Business,4
Javad Ghaderi,Columbia University,5
Jean Walrand,University of California at Berkley,1
Jianwei Huang,Chinese University of Hong Kong,8
Jinwoo Shin,Korea Advanced Institute of Science and Technology,2
John Chi Shing Lui,Chinese University of Hong Kong,2
John Tadrous,Rice University,2
Jörg Liebeherr,University of Toronto,3
Junshan Zhang,Arizona State University,6
K. K. Ramakrishnan,University of California Riverside,1
Krishna Jagannathan,Indian Institute of Technology Madras,3
Lei Ying,Arizona State University,6
Lingjie Duan,Singapore University of Technology and Design,4
Longbo Huang,Tsinghua University,5
Lu Su,State University of New York at Buffalo,4
Magnús Halldórsson,Reykjavik University,5
Marc Lelarge,INRIA-ENS,3
Massimo Franceschetti,University of California at San Diego,2
Matthew Andrews,Bell Labs,1
Minghua Chen,Chinese University of Hong Kong,4
Moez Draief,Imperial College,3
Murtaza Zafar,Nyansa Inc.,1
Panagiotis Papadimitratos,KTH Royal Institute of Technology,2
Parimal Parag,Indian Institute of Science,5
Peng-Jun Wan,Illinois Institute of Technology,6
Peter Marbach,University of Toronto,7
Radhakrishna Ganti,Indian Institute of Technology Madras,1
Raghupathy Sivakumar,Georgia Institute of Technology,10
Rahul Urgaonkar,IBM Research,3
Ramachandran Ramjee,Microsoft Research,2
Ramakrishna Gummadi,Facebook Inc.,1
Ramesh Sitaraman,University of Massachusetts at Amherst,4
Randall Berry,Northwestern University,11
Reuven Cohen,Technion – Israel Institute of Technology,2
Richard La,University of Maryland at College Park,3
Richard Ma,National University of Singapore,3
Roch Guerin,Washington University in St. Louis,3
Roy Yates,Rutgers University,5
Sanjay Shakkottai,University of Texas Austin,6
Sem Borst,TU Eindhoven,4
Shaojie Tang,University of Texas Dallas,4
Sharayu Moharir,Tata Institute of Fundamental Research,1
Shreyas Sundaram,Purdue University,1
Sneha Kumar Kasera,University of Utah,2
Song Chong,Korea Advanced Institute of Science and Technology,4
Steven Low,California Institute of Technology,3
Stratis Ioannidis,Northeastern University,4
Tara Javidi,University of California San Diego,5
odoros Salonidis,IBM Research,4
Vaneet Aggarwal,AT&T Labs - Research,4
Venkatesh Ramaiyan,Indian Institute of Technology Madras,3
Vijay Subramanian,University of Michigan,5
Wing Cheong Lau,Chinese University of Hong Kong,4
Xiang-Yang Li,Illinois Institute of Technology,7
Xin Liu,University of California at Davis,2
Xinbing Wang,Shanghai Jiaotong University,5
Yigal Bejerano,Bell-Labs,1
Yung Yi,Korea Advanced Institute of Science and Technology,2
Zhi-Li Zhang,University of Minnesota,8
Asis Nasipuri,University of North Carolina Charlotte,1
Yih-Chun Hu,University of Illinois Urbana Champaign,3
Yu Wang,University of North Carolina Charlotte,3
Yiming Ji,University of South Carolina Beaufort,1
Ryuji Wakikawa,Toyota InfoTechnology Center,2
Karthik Sundaresan,NEC Labs,1
Srihari Nelakuditi,University of South Carolina,1
Jiang (Linda) Xie,University of North Carolina Charlotte,1
Sujay Sanghavi,University of Texas Austin,3
Shweta Jain,York College/CUNY,1
Justin Manweiler,IBM T. J. Watson Research Center,1
Mainak Chatterjee,University of Central Florida,1
Martha Steenstrup,Clemson University and Stow Research L.L.C,5
Anima Anandkumar,University of California Irvine,1
Fan Bai,General Motors,1
Rajesh Balan,Singapore Management University,1
Joseph Camp,Southern Methodist University,1
Jerry T. Chiang,Advanced Digital Sciences Center,1
Supratim Deb,Alcatel-Lucent,1
Alex Dimakis,University of Southern California,2
Jason J. Haas,Sandia National Labs,2
Krishna Jagannathan,Caltech/IIT Madras,1
Srikanth Kandula,Microsoft Research,2
Sastry Kompella,US Naval Research Laboratory,1
Robin Kravets,University of Illinois Urbana Champaign,8
John C. S. Lui,Chinese University of Hong Kong,1
Cecilia Mascolo,University of Cambridge,4
Michael Neely,Rutgers University,1
Samuel C. Nelson,University of Southern California,1
Bryan Parno,Microsoft Research,1
Konstantinos Pelechrinis,University of Pittsburgh,2
