Name,University/Organization,No_of_times_as_TPC
Raghu K. Ganti,IBM Research,4
Xiaofan,Columbia University,4
Gian Pietro Picco,University of Trento,5
Xia Zhou,Dartmouth College,2
Akshay Uttama Nambi S N,Microsoft Research,1
Chenren Xu,Peking University,2
Yeonsup Lim,IBM Research,1
Shahriar Nirjon,University of North Carolina Chapel Hill,2
Ramya Raghavendra,IBM Research,1
Niki Trigoni,University of Oxford,6
Stephen Xia,Columbia University,1
Rui Tan,Nanyang Technological University,3
Tam Vu,University of Colorado Boulder,4
Shijia Pan,University of California Merced,1
Mi Zhang,Michigan State University,2
Hyung-Sin Kim,University of California Berkeley,1
Desheng Zhang,Rutgers University,2
Polly Huang,National Taiwan University,9
Lu Su,SUNY Buffalo,4
Tingjun Chen,Columbia University,1
Andrew Campbell,Dartmouth College,1
Yingying,Rutgers University,1
Tanzeem Choudhury,Cornell University,1
Prabal Dutta,University of California Berkeley,2
Jie Gao,Stony Brook University,2
Omprakash Gnawali,University of Houston,7
Marco Gruteser,Rutgers University,3
Yuan He,Tsinghua University,3
David Kotz,Dartmouth College,1
Olaf Landsiedel,University of Kiel,1
Nic Lane,University of Oxford and Samsung AI,2
Jie Liu,Microsoft Research,10
Cecilia Mascolo,University of Cambridge,6
Luca Mottola,Italy and RI.Se SICS AB,1
Klara Nahrstedt,University of Illinois Urbana Champaign,1
Kay Romer,Graz University of Technology,1
Anthony Rowe,Carnegie Mellon University,8
Jacob Sorber,Clemson University,3
Kannan Srinivasan,Ohio State University,2
Pei Zhang,Carnegie Mellon University,7
Marco Zimmerling,TU Dresden,2
Marco Zuniga Zamalloa,TU Delft,1
Paolo Casari,IMDEA Networks Institute,1
Xiuzhen Cheng,George Washington University,2
Shyam Gollakota,University of Washington,3
Wen Hu,University of New South Wales and CSIRO,2
Sung-Ju Lee,KAIST,2
Mo Li,Nanyang Technological University,2
Yung-Hsiang Lu,Purdue University,1
Qin Lv,University of Colorado Boulder,2
Andrew Markham,University of Oxford,3
Archan Misra,Singapore Management University,2
Neal Patwari,University of Utah,2
Chiara Petrioli,Rome University `La Sapienza',2
Kui Ren,Zhejiang University,1
Rahul Shah,Intel Research,2
Longfei Shangguan,Microsoft Cloud and AI,1
Lothar Thiele,ETH Zurich,2
Roger Wattenhofer,ETH Zurich,2
Pengyu Zhang,Alibaba,1
Xinyu Zhang,University of California San Diego,2
Lin Zhang,Tsinghua-Berkeley Shenzhen Institute,1
Tian He,University of Minnesota,6
Rasit Eskicioglu,University of Manitoba,7
Yong Li,Tsinghua University,1
Hae Young Noh,Carnegie Mellon University,2
Pengyu Zhang,Stanford,2
Olga Saukh,TU Graz,1
Yuhan Dong,Tsinghua University,1
Xinlei Chen,Carnegie Mellon University,1
Jorge Ortiz,IBM Research,2
Yuchun Wu,Tsinghua-Berkeley Shenzhen Institute,1
Nairan Zhang,Facebook Inc.,1
Shijia Pan,Carnegie Mellon University,1
Weixi Gu,University of California Berkeley,1
Bhaskar Krishnamachari,University of Sounthern California,1
Gowri Sankar Ramachandran,University of Southern California,1
Tian Zhou,Tsinghua-Berkeley Shenzhen Institute,1
Kai Zhang,Tsinghua University,1
Jin Zhang,South University of Science and Technology of China,1
Tarek Abdelzaher,University of Illinois Urbana Champaign,11
Sourav Bhattacharya,Nokia Bell Labs,1
Aaron Carroll,Apple Inc.,1
Octav Chipara,University of Iowa,3
Karthik Dantu,SUNY Buffalo,1
Koen Langendoen,TU Delft,9
Yunhuai Liu,Peking University,1
Luca Mottola,Politecnico di Milano,2
Tauhidur Rahman,University of Massachusetts Amherst,1
Abusayeed Saifullah,Wayne State University,2
Ying Zhang,Facebook Inc.,1
Suman Banerjee,University of Wisconsin Madison,1
Jiming Chen,Zhejiang University,1
Raghu Ganti,IBM Research,1
Petko Georgiev,Google,1
Wen Hu,University of New South Wales,2
Song Min Kim,George Mason University,1
Xianyang Li,University of Science and Technology of China,1
Erran Li,Uber Inc.,1
Shan Lin,Stony Brook University,1
Andrew Markam,University of Oxford,1
Suman Nath,Microsoft Research,3
Kui Ren,SUNY Buffalo,1
Hongkai Wen,University of Warwick,2
Yanmin Zhu,Shanghai Jiaotong University,1
Ian Akyildiz,Georgia Institute of Technology,3
Deborah Estrin,University of California Los Angeles,4
Anish Arora,Ohio State University,6
Hari Balakrishnan,Massachusetts Institute of Technology,5
Philippe Bonnet,Copenhagen,2
Loren Clare,NASA Jet Propulsion Labortory,1
Christian Enz,Lausanne,1
Ramesh Govindan,University of Southern California,5
Joseph Hellerstein,University of California Berkeley,1
Lakshman Krishnamurthy,Intel Research,3
Rich Martin,Rutgers University,1
Margaret Martonosi,Princeton University,3
