Name,University/Organization,No_of_times_as_TPC
Arvind Krishnamurthy,University of Washington,6
Sylvia Ratnasamy,University of California Berkeley,2
Aditya Akella,University of Wisconsin,5
Katerina Argyraki,EPFL,7
Guido Appenzeller,Big Switch Networks,1
Hitesh Ballani,Microsoft Research,3
Paul Barford,University of Wisconsin,4
Matt Caesar,University of Illinois,3
Augustin Chaintreau,Columbia University,2
Bruce Davie,VMware,2
Christophe Diot,Technicolor,2
Nandita Dukkipati,Google,6
Rodrigo Fonseca,Brown University,1
Nate Foster,Cornell University,4
Ali Ghodsi,University of California Berkeley,1
Paul Francis,Max Planck Institute,1
Sharon Goldberg,Boston University,4
Brighten Godfrey,University of Illinois,2
Shyam Gollakota,University of Washington,2
Saikat Guha,Microsoft Research,1
Krishna Gummadi,Max Planck Institute,1
Chuanxiong Guo,Microsoft Research,1
Polly Huang,National Taiwan University,2
Kyle Jamieson,University College London,6
Brad Karp,University College London,9
Ethan Katz-Bassett,University of Southern California,4
Teemu Koponen,VMware,2
Harsha Madhyastha,University of California Riverside,1
Ratul Mahajan,Microsoft Research,9
Nick McKeown,Stanford,8
Michael Mitzenmacher,Harvard University,6
Andrew Moore,University of Cambridge,2
Robert Morris,Massachusetts Institute of Technology,7
Jitendra Padhye,Microsoft Research,5
Vivek Pai,Princeton University,3
Dina Papagiannaki,Telefonica,1
Kyoung Soo Park,KAIST,1
Adrian Perrig,ETH Zurich,2
Larry Peterson,Princeton University and ON.LAB,1
Srinivasan Seshan,Carnegie Mellon University,9
Vyas Sekar,Carnegie Mellon University,5
Scott Shenker,University of California Berkeley and ICSI,1
Alex Snoeren,University of California San Diego,6
Neil Spring,University of Maryland,3
Kun Tan,Microsoft Research,4
Renata Teixeira,University Pierre et Marie Curie,1
Amin Vahdat,Google and University of California San Diego,1
Walter Willinger,Niksun,2
John Wrocklawski,ISI,1
Richard Yang,Yale University,2
Xiaowei Yang,Duke University,3
Minlan Yu,University of Southern California,3
Ellen Zegura,Georgia Tech,4
Yin Zhang,Austin,1
Rene Cruz,University of California San Diego,2
George Varghese,University of California San Diego,4
Roch Guerin,UniversityPennsylvania,2
Derek Mc Auley,Marconi Research Center,1
Joe Touch,USC/ISI,2
Geoff Voelker,University of California San Diego,3
Ramesh Govindan,USC/ISI,1
Dilip Kandlur,IBM T. J.Watson,1
Chuck Kalmanek,AT&T Research,1
Christos Papadopoulos,Univeristy of Southern California,1
Hari Balakrishnan,Massachusetts Institute of Technology,6
Derek McAuley,Cambridge,1
Mark Allman,NASA/BBN,1
Mostafa Ammar,Georgia Institute of Technology,3
Tom Anderson,University Washington,2
Mihir Bellare,University of California San Diego,1
Ramon Caceres,Vindigo,1
Andrew Campbell,Columbia University,1
Lyman Chapin,BBN Technologies,1
Jon Crowcroft,UCL,2
Christophe Diot,Sprint,2
Michalis Faloutsos,University of California Riverside,3
Sally Floyd,ACIRI/ICSI,1
Ramesh Govindan,ISI/USC,1
Roch Guerin,University Pennsylvania,2
Per Gunningberg,Uppsala University,4
Balachander Krishnamurthy,AT&T,1
J.Y. Leboudec,EPFL,2
Ian Leslie,Cambridge University,2
Bryan Lyles,Sprint,2
Derek McAuley,Marconi Research Center,1
Vern Paxson,ACIRI/ICSI,2
Raju Rajan,AT&T,1
